experiment,spatial_block,kernel,n_cells,MSE,RMSE,weighted_squared_error_sum
original_station_annual,0,RBF,696,2.3169727351186626,1.5221605484043603,1612.6130236425893
original_station_annual,1,RBF,535,1.3270802217528004,1.1519896795339792,709.9879186377482
original_station_annual,2,RBF,693,5.947671783868545,2.438784899057017,4121.736546220902
original_station_annual,3,RBF,705,2.462887501985497,1.5693589461896527,1736.3356888997755
original_station_annual,4,RBF,697,1.2806449523143515,1.1316558453497916,892.609531763103
original_station_annual,5,RBF,523,6.268745661059246,2.503746325221316,3278.5539807339856
original_station_annual,6,RBF,589,1.6896374363244346,1.2998605449525864,995.1964499950919
original_station_annual,7,RBF,688,3.619703497151161,1.9025518382296869,2490.3560060399986
original_station_annual,8,RBF,686,1.2344345482791519,1.1110511006606096,846.8221001194981
original_station_annual,9,RBF,588,5.277593541240847,2.297301360562181,3103.2250022496182
original_station_annual,0,Matern,696,2.206456493488501,1.4854145863995347,1535.6937194679967
original_station_annual,1,Matern,535,1.201153371807806,1.09597142837202,642.6170539171762
original_station_annual,2,Matern,693,5.599003211217189,2.366221293796755,3880.109225373512
original_station_annual,3,Matern,705,2.6063328026450545,1.6144140740977992,1837.4646258647635
original_station_annual,4,Matern,697,1.0104590862438927,1.0052159401063498,704.2899831119931
original_station_annual,5,Matern,523,6.1781568007933,2.485589829556216,3231.1760068148956
original_station_annual,6,Matern,589,1.641564953058349,1.2812357133089716,966.8817573513675
original_station_annual,7,Matern,688,3.633930075169673,1.9062869865709289,2500.143891716735
original_station_annual,8,Matern,686,1.9002864275955664,1.378508769502598,1303.5964893305586
original_station_annual,9,Matern,588,5.1803692066912275,2.2760424439564453,3046.0570935344417
original_station_monthly,0,RBF,696,0.389714006629468,0.624270779894004,271.2409486141097
original_station_monthly,1,RBF,535,0.6304644513601312,0.7940179162714978,337.2984814776702
original_station_monthly,2,RBF,693,0.5656329274870411,0.7520857181778159,391.98361874851946
original_station_monthly,3,RBF,705,0.5332932682458146,0.7302693121347867,375.9717541132993
original_station_monthly,4,RBF,697,0.5331191031565364,0.7301500552328517,371.5840149001059
original_station_monthly,5,RBF,523,0.9257968346265302,0.9621833685044292,484.1917445096753
original_station_monthly,6,RBF,589,0.21774553933089733,0.4666321241951708,128.25212266589853
original_station_monthly,7,RBF,688,0.1764631824908426,0.4200752105169295,121.40666955369971
original_station_monthly,8,RBF,686,1.868637316921169,1.3669810960365065,1281.8851994079218
original_station_monthly,9,RBF,588,0.4444843351506981,0.6666965840250706,261.35678906861045
original_station_monthly,0,Matern,696,0.18129475506600168,0.42578721806320313,126.18114952593717
original_station_monthly,1,Matern,535,0.2954973726417738,0.5435967003595348,158.091094363349
original_station_monthly,2,Matern,693,0.2262814655983608,0.4756905145137548,156.81305565966403
original_station_monthly,3,Matern,705,0.24530909421427646,0.4952868807209378,172.9429114210649
original_station_monthly,4,Matern,697,0.26865925391044,0.5183235031430081,187.25549997557667
original_station_monthly,5,Matern,523,0.4809119029142183,0.6934781199967439,251.51692522413617
original_station_monthly,6,Matern,589,0.11365813127934177,0.337132216317785,66.9446393235323
original_station_monthly,7,Matern,688,0.10401491861466693,0.32251343943263344,71.56226400689084
original_station_monthly,8,Matern,686,1.2577966385820407,1.1215153314074848,862.84849406728
original_station_monthly,9,Matern,588,0.23297066082593895,0.48267034384343416,136.9867485656521
gridded_annual,0,RBF,12,6.298644621744408,2.5097100672676134,75.5837354609329
gridded_annual,1,RBF,12,1.0258928868796986,1.0128637059741545,12.310714642556382
gridded_annual,2,RBF,12,0.9762252962732901,0.9880411409821406,11.714703555279481
gridded_annual,3,RBF,9,3.2561501608319485,1.8044805792337995,29.30535144748754
gridded_annual,4,RBF,8,3.4976602739216816,1.8702032707493808,27.981282191373452
gridded_annual,5,RBF,10,4.314284673469514,2.0770856201585706,43.14284673469514
gridded_annual,6,RBF,11,1.9971205134826264,1.4131951434542316,21.96832564830889
gridded_annual,7,RBF,9,2.7185258180790743,1.648795262632409,24.466732362711667
gridded_annual,8,RBF,9,1.6283930731365617,1.2760850571715672,14.655537658229056
