epoch,train_total,train_mu,train_delta,train_c,val_total,val_mu,val_delta,val_c,g_mu,g_delta,g_c,w_mu,w_delta,w_c
1,56.192597970301314,20.30477429833601,27.11767660490787,14.880802359732755,0.6382836986083192,0.02946382690706073,0.5521335422802276,0.056686341289442756,373.2466832465156,558.9582574988344,364.9873908305961,1.293440146994452,0.4880140500011536,1.2288949959936784
2,0.07556094444410895,0.009567608123521223,0.17338683904997318,0.020531372457215046,0.08508556020764498,0.0007239740162257688,0.07881887872426654,0.005542707433120702,0.34053526232381753,2.4655374081409076,0.8495207090325464,1.8422989797192426,0.2366187237312921,0.9371609064970826
3,0.06353766394067085,0.00754079272175516,0.15665885698329976,0.03021776366664205,0.1268813531762495,0.0007654024738470277,0.12149094476010472,0.004625005500998122,0.10493697157009664,2.4457759411400595,1.6575671776323955,2.0467619390053438,0.2168333337796623,0.7955028325227216
4,0.05669876919112108,0.0073575992912964724,0.1396952707117023,0.013300164515882057,0.0834304724162379,0.0008422204573376896,0.07907074582748139,0.003517506146854081,0.07546688241055388,0.7512940310722466,0.1884462364764767,2.0445116669138805,0.22082462788322632,0.7946345657565631
5,0.05522298869285923,0.007509738178752877,0.1373037586764213,0.013694773590050752,0.11108962408365153,0.0006686054861370903,0.10405106353350341,0.006369954471241314,0.1203789832053519,0.9012846496132304,0.30289799495838887,2.1051252059469245,0.2110818331206682,0.7545204582520542
6,0.05152770289006951,0.006974817417445195,0.132674888628233,0.012248605312127937,0.06439563209494463,0.0008302279002295015,0.05998629990953226,0.0035791042686318057,0.04242689602806553,0.6678900165250827,0.13289310839633203,2.16807262296072,0.20823796495693173,0.705254607784165
7,0.0581523487884742,0.007954569743749917,0.15594379662984265,0.012859655488536728,0.06922839476039615,0.0006669851778909718,0.06614745191682261,0.002413957639740179,0.3089756940099526,2.8739893244534134,0.36912130144135014,2.134241669501564,0.20357871742440004,0.7458412618904308
8,0.05227897490244422,0.007215119390939156,0.13374423533646268,0.01411008820714073,0.07589080945228616,0.0006567435458112068,0.07299896679556789,0.0022350989275436383,0.06735857851978196,0.9215855776102034,0.2754086969302187,2.176714928589565,0.20231866632708864,0.7059872857008866
9,0.05060976777470483,0.007179231767712714,0.13038597351302467,0.01170014847767676,0.07063053253169257,0.001054590832577429,0.0669301528090867,0.002645788909926915,0.07635439141043047,0.80033032365709,0.14208846903153097,2.1426868361064995,0.20514179898631477,0.7385223185148789
10,0.04856169465039269,0.006714105456090078,0.1286773854618695,0.01143448692432576,0.10641690137715766,0.0006869614065532533,0.10203875842899941,0.0036911821013655716,0.03174739954046528,0.669712272853418,0.09809564676452746,2.1915873894950817,0.20060306150918228,0.7040213967019169
