epoch,train_total,train_mu,train_delta,train_c,val_total,val_mu,val_delta,val_c,g_mu,g_delta,g_c,w_mu,w_delta,w_c
11,0.04633169798911533,0.006459804883829887,0.12133849507242238,0.010638014978805474,0.05688360434013624,0.0005014578912432451,0.05491491491659381,0.001467231661825182,0.027857162015054355,0.6210517282800229,0.0849153367374611,2.105574432769551,0.1999999999999923,0.7977389802774381
12,0.049568486422198625,0.0066177597335569955,0.12046824887700049,0.010735561953000915,0.057190727049740736,0.0005056360831704384,0.055245213579541194,0.0014398773370039896,0.14140228355370718,0.7041927528158305,0.19790757722668031,2.040701298630194,0.22925957271299496,0.8305728181212183
13,0.046263782761247235,0.006420291672578342,0.12020897266292888,0.010516263775999495,0.057409612289347205,0.0005006872140021382,0.055442240232000714,0.0014666847839279059,0.035999416483144586,0.7834867778403158,0.08656632187610971,2.0557822880004326,0.2009456153737323,0.8495856153387218
14,0.04607067117546987,0.006412003047481408,0.12006565998705683,0.010521329213855566,0.05805888484580258,0.0004927607843824945,0.05607242399035171,0.0014937002388105843,0.04012966129021538,0.8895009945551886,0.14282520705662866,2.072812609869565,0.1999999999999923,0.8371330949509922
15,0.046057644641064995,0.006408459339755724,0.11972533567862605,0.010477237314988666,0.054047462134696425,0.0005107207433729709,0.05217721371557385,0.001359527852325239,0.03804667154202392,0.8430835378707051,0.09036674638341535,2.0503298465529345,0.1999999999999923,0.8577933574075955
16,0.04606862986180613,0.006403818159362575,0.11961576585584788,0.01047433264642547,0.05238966755688,0.0004994137877094063,0.05052080506476731,0.0013694488064061624,0.039532835464233064,0.8537286892609752,0.09116693820819614,2.033200253872422,0.1999999999999923,0.8732881488303885
17,0.04597890914780161,0.006400271831894827,0.11945013222268722,0.010462854755049057,0.05553151420153939,0.00048890582749995,0.05376193120171087,0.0012806773036212538,0.03917940437949198,0.8536708006540967,0.09281897982171272,2.0447454012628796,0.1999999999999923,0.8613804354020429
18,0.04620143468491733,0.0064112975798688715,0.11933163691426503,0.010450038570615085,0.05320795065464493,0.0004932332862787449,0.05143989795765366,0.0012748192952270396,0.0483374217613897,0.9035993092354552,0.09874883710598839,2.0308769113071596,0.20187701418556608,0.8733987171276754
19,0.04590854779721807,0.006394170199833976,0.11917070670326721,0.01044840340239533,0.050490316527244,0.000480070926182823,0.04873003754110192,0.0012802078668325662,0.03928378041356586,0.8763151403900811,0.09293228742785167,2.045591522935651,0.1999999999999923,0.8628772773949726
20,0.0459845580260743,0.006400751701314575,0.11915220286531863,0.010448713656578455,0.05523536554255044,0.00047420304768477765,0.05347520129058879,0.001285961240912362,0.045318186317205814,1.062691766679374,0.09955773657403882,2.0338441237663663,0.20000046071151864,0.8766805228904296
21,0.04582483425447177,0.0063925980233290125,0.11894109069112269,0.0104349474039218,0.05590646320019667,0.0004733091494746911,0.05412168258699936,0.0013114712933768717,0.040820046543659116,0.949110944440129,0.09878552077021997,2.0603502529778597,0.1999999999999923,0.851175959942627
22,0.045873149298131466,0.006390171758663672,0.11884915870026314,0.010431281243667084,0.05504568008045419,0.00048795174628781814,0.05323492992109955,0.0013227984872676384,0.042244274009597516,0.9996106381767315,0.09934486270100094,2.0431563386683957,0.1999999999999923,0.8696205448523711
23,0.04589825435048891,0.006398421383137837,0.11883753405108335,0.010426615505302866,0.05034651002659204,0.00047865913098175136,0.048645341524872154,0.0012225093215498656,0.051715097130633624,1.006029308823886,0.10015960604738706,2.02523763875089,0.1999999999999923,0.8861116422116124
24,0.04575309286660073,0.006389456416608181,0.11868050608644103,0.010420303237695985,0.05203814319552134,0.0004967846122894662,0.05028327752035647,0.0012580811675748052,0.042579303645208254,1.016248723444466,0.10545118906663685,2.0620991807198634,0.2000122752622339,0.8510520489872382
25,0.04578465238490075,0.006387176860080962,0.11860545470344329,0.010420437994589488,0.05928630003937708,0.0004846000585135239,0.057528474882911566,0.0012732250331424937,0.04312563590563666,1.0326900502891696,0.10535169289338825,2.053897756182917,0.1999999999999923,0.8600731383468959
26,0.04576407372792579,0.006391448579961434,0.11866100930923489,0.010422818285632409,0.05538365766763116,0.0004935040424679058,0.05351782467561408,0.0013723288917134458,0.043873620973434994,1.1565749013102682,0.11209241981360328,2.0672994086146455,0.1999999999999923,0.8474390347314129
27,0.04572247844364227,0.006383410776939892,0.11844564123085538,0.010408306419658682,0.05022349362127697,0.00047944366583041253,0.04848929687429922,0.001254753257629994,0.04195090756422951,1.0388055014510933,0.10131770426831309,2.0653482013794187,0.1999999999999923,0.8510002487939037
28,0.0458329073439508,0.006401340247615822,0.11855405510908609,0.010413811588381757,0.05270768331881529,0.0004769761766010997,0.05097405372645718,0.0012566536198557613,0.05652298446184789,1.1362753750564745,0.10565827489623156,2.04919126451768,0.1999999999999923,0.8671779624577359
29,0.04568554685886555,0.006380553830314885,0.11833388372976016,0.010402988076667737,0.05271493799436968,0.0005009459537497093,0.050884172832147,0.0013298192213976774,0.04235808915124202,1.059734150737495,0.10350933653442507,2.069575751545831,0.1999999999999923,0.8477190526695384
30,0.04567373713872589,0.006380622488237542,0.1182226262058516,0.010401292339900236,0.05918530621134435,0.00047328125517339276,0.05731458740588575,0.0013974374850108005,0.04300434768252112,1.0744250124496029,0.10417865024363131,2.0636934114491488,0.1999999999999923,0.8536050143587974
31,0.04558722662847527,0.00638116466955428,0.11823828748201652,0.01040484022079735,0.051502494534221704,0.0004952330326924797,0.04981664832407674,0.0011906132223635031,0.04329566029860403,1.0983682445004082,0.1096967194821816,2.089028487330843,0.1999999999999923,0.8286094250725744
32,0.04535429072709366,0.006357642965400814,0.11732543706766778,0.01033467574362125,0.05020985158440023,0.0004645325442457708,0.0485853212067304,0.0011599977750304383,0.040002108510199384,1.0565589788856602,0.101412569553186,2.077306006471648,0.1999999999999923,0.8419429415342173
33,0.04537196597481725,0.006354663848543997,0.11719921368107505,0.010326809339613078,0.05038075833417737,0.00046355239595078263,0.048767417907333986,0.0011497879755674317,0.04171221778375658,1.0883624026147936,0.10235063369000329,2.065274594106511,0.1999999999999923,0.8540686853845044
34,0.045401970286132076,0.006353605426661193,0.11717680202313911,0.01032477467016511,0.05032155953181056,0.0004636390865914309,0.04871034859039913,0.0011475716841023284,0.04307984131613788,1.1006717619955468,0.10140702430433807,2.052116270632858,0.1999999999999923,0.8677437935006495
35,0.0453414031353687,0.006353703776351414,0.11712081096081044,0.010323336593085207,0.05028550392879655,0.0004660164261015114,0.04867905208144706,0.0011404356277642993,0.04303095297074028,1.100187275321297,0.1037808978114922,2.0653465070315056,0.1999999999999923,0.8539596570030309
36,0.045278763609108715,0.006352733739722463,0.11710967938336242,0.010321689548118695,0.051349765653855885,0.00046636211712243627,0.049721283243058585,0.0011621203670388284,0.0416698377117372,1.1259700088794342,0.10490012601533236,2.088135564487249,0.1999999999999923,0.8344043333150961
37,0.04531239617596867,0.0063504046357615055,0.11701999937339905,0.010316085417630984,0.05054503166899323,0.00046271754067224533,0.04894247776069961,0.001139836465997901,0.043033914045463154,1.155424102238785,0.10464071765721417,2.0743308662314854,0.1999999999999923,0.8480590677071052
38,0.04531381971921149,0.006349831961676218,0.11699660478394999,0.010313875926141993,0.05054216965818748,0.00046271554031855643,0.04894247971855985,0.0011369744488692727,0.04335930393246159,1.1111810767775185,0.10427050217802293,2.063079126423404,0.1999999999999923,0.8565196262334552
39,0.04530825146152908,0.006349957280584894,0.1170026309400441,0.010313634224690548,0.050325030698991434,0.0004628414417224261,0.048725055673489934,0.001137133531708318,0.042628342641784306,1.1288944511958923,0.10397675560776491,2.0720216858041565,0.1999999999999923,0.8496004647398183
40,0.04527535171521376,0.006349771271051311,0.11698626373249262,0.010313466887995792,0.05050287142205543,0.0004629348590672492,0.0489040291109405,0.0011359074992832903,0.042523935467473954,1.135951725041064,0.10492465921017985,2.078321741052304,0.1999999999999923,0.843729110309319
