epoch,train_total,train_mu,train_delta,train_c,val_total,val_mu,val_delta,val_c
1,9.355536619927607,15.808584301979415,9.773508443627444,2.484517445549394,0.06555278354083387,0.002452243711225117,0.18109084527713423,0.013115260928583602
2,0.1719738769459414,0.06481230614236842,0.31884476760840963,0.13226454604735738,0.034650314932528396,0.0011277258135422993,0.09471113640612687,0.008112082921397
3,0.12723124130158575,0.028208825270484007,0.2763314420967633,0.07715344998795609,0.02411725607733376,0.0008303392328881322,0.06764787631912735,0.0038735522797848946
4,0.08374794983184251,0.026983761701036765,0.1475673273917758,0.07669275817453365,0.028977700571615857,0.0016422332145464116,0.08203320888379892,0.003257659784244439
5,0.051737112179875325,0.007751817080357554,0.1338497915435519,0.013609727838238758,0.021506210943808952,0.0007593786853853577,0.05974351783720449,0.004015736467838763
6,0.05152254065644924,0.007261220549722758,0.13225628573879752,0.01505011556163087,0.02771287573912083,0.0006720143985509063,0.07985305905151673,0.0026135539540056937
7,0.0504886480668121,0.007511636023942076,0.13140797699124587,0.012546331127438021,0.02222781177586355,0.0007202629949867773,0.06379167398753258,0.0021714987426686783
8,0.0668689345904394,0.010411422488413936,0.1415734420095033,0.04862194112720566,0.024896674024792145,0.0007074549931812638,0.07014152160086952,0.0038410454118898074
9,0.04955954576839308,0.007228450625165407,0.12865319362374297,0.012796993165931731,0.02222813848560801,0.0006896853964878455,0.06343981204703213,0.002554917787633146
10,0.04698949059910131,0.006660455854433992,0.12161517768316352,0.012692838527998051,0.018840494089590286,0.0005825068497585472,0.0543479285717677,0.0015910467482171953
11,0.046190335126053354,0.006641652747359343,0.12087435138001784,0.011055001428584432,0.017533393210758225,0.0005485370664815671,0.05055197960914324,0.0014996629698535266
12,0.04599963606068223,0.0067098517601224105,0.12063543275539022,0.010653623569488157,0.017687325478909305,0.0005471253458532496,0.051155921369314954,0.0013589292873268405
13,0.04566862688832138,0.006518120617993532,0.11982809879845675,0.010659661345261725,0.018417263579087708,0.0005466071112392346,0.05320839292277543,0.0014967909556986116
14,0.04556803376836632,0.006508454297027159,0.11960934352053412,0.010586303999685642,0.01764771418449597,0.0005279775618161923,0.05104106804504752,0.0013740972010269999
15,0.045486466366314544,0.0064982779089833445,0.11938632157736112,0.010574799622631546,0.017784129953184447,0.0005528809836159606,0.05138710386955891,0.0014124048184588575
16,0.04518194838249007,0.006471447266082823,0.11857671831470656,0.010497679463675112,0.017423567915567383,0.0005293770598585364,0.050432465934810544,0.0013088608478990416
17,0.04513401882293866,0.0064686096199659425,0.11844737530739997,0.01048607139156038,0.017888324457211807,0.0005275850933150778,0.05188268114821599,0.0012547071776189173
18,0.0451176889104063,0.006466143743199401,0.11840732456677602,0.010479598304530154,0.017405769103370345,0.0005244542303429649,0.0504130493111599,0.001279803570553351
19,0.04510156911918607,0.006464307067904672,0.11836177468261723,0.01047862572504093,0.017290321021034314,0.0005310488429244834,0.05009966659041259,0.0012402476014988944
20,0.04509073397249568,0.006462878272761416,0.11833297094940479,0.010476352677938016,0.017310854255819855,0.0005228073924211577,0.05015566275594905,0.0012540920991257142
21,0.04507659560660657,0.006462665811521176,0.11829271516365351,0.010474405841069111,0.017611005227453413,0.0005251334325712436,0.05105213715602605,0.0012557449941776287
22,0.045070602182686686,0.00646212221931431,0.11827396981755062,0.010475714600592559,0.01759934283126467,0.000526850863368051,0.05103847762337698,0.001232699675376887
23,0.045060259587236334,0.0064616651286580834,0.11824637367278847,0.010472739997809379,0.017182515481838023,0.0005410447716341017,0.049757595409076816,0.001248906461928135
24,0.04505233488160062,0.006460621582905193,0.1182235915455395,0.010472791554102731,0.017399421693703617,0.0005243143439441681,0.05044185322599289,0.0012320975173107042
25,0.04504012242325108,0.006460599067466772,0.11818912656780702,0.010470641467604251,0.017537607832219654,0.000526738260462047,0.050822910772392545,0.0012631744044809081
26,0.04503614582842909,0.0064585426314328655,0.11818077704001459,0.010469117762684606,0.017296080299007435,0.0005236604429867726,0.05013806712084685,0.0012265134423512954
27,0.04502979737909911,0.006460305036235531,0.11816015810810615,0.010468929167479315,0.017139190346740496,0.000523901306194649,0.049609464233199625,0.0012842056755431757
28,0.04501801468797486,0.006458666382707916,0.11812726367875273,0.01046811394614355,0.017457212422626277,0.0005233805323876559,0.05060760088907644,0.0012406553485811637
29,0.045015827747881924,0.006457653849817965,0.11812196682928823,0.010467862816640324,0.01720682218873177,0.0005304752082858508,0.04986565789808861,0.001224333726869414
30,0.045002316715157635,0.006456639223438831,0.11808674376451572,0.01046356714470471,0.01745976229457143,0.0005230530879806917,0.050619551423972786,0.0012366826548955191
31,0.045010990581599165,0.006462222976477359,0.11810598282760117,0.010464766007965691,0.01761157570865017,0.0005942229281020419,0.050993082235558346,0.0012474221323569195
32,0.044977674578593044,0.006465495512093681,0.11800958716339167,0.01045794090742417,0.01728987194204959,0.0005607662418226416,0.05008239872134722,0.0012264508042133416
33,0.04495226892916034,0.006453796016901045,0.11794764206684337,0.01045536855871411,0.01728654970614293,0.0005425814452347534,0.050103979131665095,0.001213088272155795
34,0.0449804938096337,0.0064677904974256,0.1180180394990249,0.010455651182336446,0.017217893665210128,0.0005229825138883552,0.04991768678418173,0.001213012093205017
35,0.044947999157647224,0.006453488883582252,0.11793670001671787,0.010453808700678547,0.017266047913164568,0.0005307333638181927,0.050062576332650245,0.00120483421457979
